1 0.7625 0.0216667
1 0.29625 0.108333
1 0.0625 0.721667
1 0.3125 0.933333
1 0.135 0.148333
1 0.3625 0.0283333
1 0.88 0.13
1 0.73625 0.948333
1 0.23875 0.00833333
1 0.7025 0.685
1 0.31875 0.0316667
1 0.87125 0.175
1 0.72125 0.125
1 0.23625 0.9
1 0.3 0.671667
1 0.25625 0.716667
1 0.9375 0.72
1 0.925 0.888333
1 0.74 0.183333
1 0.23625 0.116667
1 0.56375 0.18
1 0.79875 0.07
1 0.33125 0.00166667
1 0.25625 0.786667
1 0.57125 0.375
1 0.40125 0.27
1 0.9425 0.246667
1 0.87875 0.823333
1 0.98625 0.285
1 0.77 0.321667
1 0.25375 0.908333
1 0.92 0.343333
1 0.3575 0.263333
1 0.57125 0.323333
1 0.6875 0.685
1 0.62875 0.761667
1 0.60375 0.186667
1 0.8525 0.00833333
1 0.28375 0.0616667
1 0.69125 0.216667
1 0.10375 0.823333
1 0.67625 0.108333
1 0.83625 0.8
1 0.2125 0.373333
1 0.64 0.205
1 0.6925 0.37
1 0.915 0.915
1 0.655 0.973333
1 0.95 0.38
1 0.2425 0.66
1 0.365 0.0466667
1 0.00125 0.198333
1 0.77125 0.00333333
1 0.87625 0.921667
1 0.92875 0.646667
1 0.2725 0.755
1 0.835 0.731667
1 0.03 0.406667
1 0.635 0.153333
1 0.34875 0.743333
1 0.16375 0.353333
1 0.93375 0.345
1 0.435 0.846667
1 0.32 0.236667
1 0.35 0.285
1 0.76125 0.251667
1 0.985 0.858333
1 0.69125 0.735
1 0.025 0.0816667
1 0.03625 0.985
1 0.8775 0.716667
1 0.3475 0.823333
1 0.73375 0.283333
1 0.21125 0.696667
1 0.1075 0.636667
1 0.145 0.155
1 0.66375 0.293333
1 0.35125 0.788333
1 0.79 0.66
1 0.42125 0.773333
1 0.88625 0.03
1 0.7225 0.135
1 0.77375 0.933333
1 0.09 0.35
1 0.37875 0.666667
1 0.82 0.736667
1 0.1525 0.685
1 0.87125 0.151667
1 0.74375 0.6
1 0.67875 0.21
1 0.42 0.293333
1 0.18875 0.868333
1 0.61125 0.833333
1 0.6425 0.175
1 0.04625 0.958333
1 0.34375 0.611667
1 0.32125 0.215
1 0.21 0.895
1 0.79 0.866667
1 0.1825 0.376667
1 0.8025 0.928333
1 0.29875 0.143333
1 0.25875 0.0566667
1 0.9975 0.836667
1 0.89 0.223333
1 0.8475 0.025
1 0.14375 0.87
1 0.97 0.92
1 0.12125 0.0866667
1 0.84 0.665
1 0.295 0.776667
1 0.61125 0.366667
1 0.7325 0.391667
1 0.30875 0.635
1 0.74 0.73
1 0.02375 0.331667
1 0.09 0.695
1 0.37625 0.226667
1 0.87875 0.885
1 0.93875 0.185
1 0.0025 0.111667
1 0.98125 0.298333
1 0.71375 0.0566667
1 0.28875 0.738333
1 0.42625 0.991667
1 0.72125 0.326667
1 0.855 0.248333
1 0.4175 0.993333
1 0.39375 0.723333
1 0.4175 0.771667
1 0.5725 0.838333
1 0.645 0.91
1 0.75875 0.413333
1 0.3725 0.116667
1 0.7525 0.861667
1 0.56875 0.301667
1 0.05 0.815
1 0.9775 0.806667
1 0.6175 0.385
1 0.13875 0.736667
1 0.14375 0.101667
1 0.72 0.643333
1 0.82125 0.0733333
1 0.06125 0.406667
1 0.4125 0.09
1 0.2925 0.968333
1 0.75125 0.401667
1 0.72625 0.751667
1 0.07875 0.971667
1 0.9 0.863333
1 0.20625 0.266667
1 0.19875 0.66
